"Type";"Parent";"Name";"IO-Type";"DataType";"Comment";"PIAssignment";
"KBUS";"0750-1405";"";"";"";"";"PLC";
"KBUS";"Elm.1";"_DI_FeedBackSwitchLine_UZ1";"Input";"BOOL";"Ch_1 Digital input";"";
"KBUS";"Elm.2";"_DI_Pump_InvNorm_UZ1";"Input";"BOOL";"Ch_2 Digital input";"";
"KBUS";"Elm.3";"_DI_FeedBackSwitchLine_P1";"Input";"BOOL";"Ch_3 Digital input";"";
"KBUS";"Elm.4";"_DI_Pump_InvNorm_P1";"Input";"BOOL";"Ch_4 Digital input";"";
"KBUS";"Elm.5";"_DI_LL";"Input";"BOOL";"Ch_5 Digital input";"";
"KBUS";"Elm.6";"_DI_LM";"Input";"BOOL";"Ch_6 Digital input";"";
"KBUS";"Elm.7";"_DI_LH";"Input";"BOOL";"Ch_7 Digital input";"";
"KBUS";"Elm.8";"_DI_Spare_1";"Input";"BOOL";"Ch_8 Digital input";"";
"KBUS";"Elm.9";"_DI_Spare_2";"Input";"BOOL";"Ch_9 Digital input";"";
"KBUS";"Elm.10";"_DI_Spare_3";"Input";"BOOL";"Ch_10 Digital input";"";
"KBUS";"Elm.11";"_DI_Spare_4";"Input";"BOOL";"Ch_11 Digital input";"";
"KBUS";"Elm.12";"_DI_Spare_5";"Input";"BOOL";"Ch_12 Digital input";"";
"KBUS";"Elm.13";"_DI_Spare_6";"Input";"BOOL";"Ch_13 Digital input";"";
"KBUS";"Elm.14";"_DI_Spare_7";"Input";"BOOL";"Ch_14 Digital input";"";
"KBUS";"Elm.15";"_DI_Spare_8";"Input";"BOOL";"Ch_15 Digital input";"";
"KBUS";"Elm.16";"_DI_Spare_9";"Input";"BOOL";"Ch_16 Digital input";"";
"KBUS";"0750-1504";"";"";"";"";"PLC";
"KBUS";"Elm.1";"_DO_PumpOn_UZ1";"Output";"BOOL";"Ch_1 Digital output";"";
"KBUS";"Elm.2";"_DO_PumpOn_P1";"Output";"BOOL";"Ch_2 Digital output";"";
"KBUS";"Elm.3";"_DO_Green";"Output";"BOOL";"Ch_3 Digital output";"";
"KBUS";"Elm.4";"_DO_Yellow";"Output";"BOOL";"Ch_4 Digital output";"";
"KBUS";"Elm.5";"_DO_Red";"Output";"BOOL";"Ch_5 Digital output";"";
"KBUS";"Elm.6";"_DO_Sound";"Output";"BOOL";"Ch_6 Digital output";"";
"KBUS";"Elm.7";"_DO_Spare_1";"Output";"BOOL";"Ch_7 Digital output";"";
"KBUS";"Elm.8";"_DO_Spare_2";"Output";"BOOL";"Ch_8 Digital output";"";
"KBUS";"Elm.9";"_DO_Spare_3";"Output";"BOOL";"Ch_9 Digital output";"";
"KBUS";"Elm.10";"_DO_Spare_4";"Output";"BOOL";"Ch_10 Digital output";"";
"KBUS";"Elm.11";"_DO_Spare_5";"Output";"BOOL";"Ch_11 Digital output";"";
"KBUS";"Elm.12";"_DO_Spare_6";"Output";"BOOL";"Ch_12 Digital output";"";
"KBUS";"Elm.13";"_DO_Spare_7";"Output";"BOOL";"Ch_13 Digital output";"";
